Date,Time,Champion,Round,Team A,Team B,Team A Score,Team B Score,Team A Penalty Score,Team B Penalty Score,Winner,Match Status,Match URL
1/4/2025,14:30,الدوري الإنجليزي,الأسبوع العشرون,توتنهام هوتسبر,نيوكاسل,1,2,N/A,N/A,نيوكاسل,Completed,https://www.yallakora.com/epl/2906/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a#MC_MatcheDetails
1/4/2025,18:00,الدوري الفرنسي,الأسبوع السادس عشر,سانت اتيان,ريمس,3,1,N/A,N/A,سانت اتيان,Completed,https://www.yallakora.com/ligue1/2908/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a#MC_MatcheDetails
1/4/2025,16:00,الدوري الإيطالي,الأسبوع التاسع عشر,فينيزيا,إمبولي,1,1,N/A,N/A,تعادل,Completed,https://www.yallakora.com/serie-a/2910/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a#MC_MatcheDetails
1/4/2025,17:00,الدوري المغربي,الأسبوع السابع عشر,حسنية اغادير,الشباب الرياضي السالمي,3,1,N/A,N/A,حسنية اغادير,Completed,https://www.yallakora.com/morrocan-league/2933/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8%d9%8a#MC_MatcheDetails
1/4/2025,15:00,دوري أبطال أفريقيا,الجولة الرابعة,يانج افريكانز,مازيمبي,3,1,N/A,N/A,يانج افريكانز,Completed,https://www.yallakora.com/african-champions-league/2915/tour-hp/%d8%af%d9%88%d8%b1%d9%8a-%d8%a3%d8%a8%d8%b7%d8%a7%d9%84-%d8%a3%d9%81%d8%b1%d9%8a%d9%82%d9%8a%d8%a7#MC_MatcheDetails
1/4/2025,14:30,كأس مصر,دور الـ 32,البنك الاهلي,بترول أسيوط,1,0,N/A,N/A,البنك الاهلي,Completed,https://www.yallakora.com/egypt-cup/2956/tour-hp/%d9%83%d8%a3%d8%b3-%d9%85%d8%b5%d8%b1#MC_MatcheDetails
1/4/2025,20:00,كأس ملك أسبانيا,دور الـ 32,بارباسترو,برشلونة,0,4,N/A,N/A,برشلونة,Completed,https://www.yallakora.com/copa-del-rey/2947/tour-hp/%d9%83%d8%a3%d8%b3-%d9%85%d9%84%d9%83-%d8%a3%d8%b3%d8%a8%d8%a7%d9%86%d9%8a%d8%a7#MC_MatcheDetails
1/4/2025,14:30,الدوري المصري الممتاز - سيدات,الأسبوع الثالث عشر,الاتحاد السكندري,مودرن سبورت,0,5,N/A,N/A,مودرن سبورت,Completed,https://www.yallakora.com/egyptian-womens-premier-league/2938/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%b5%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d9%85%d8%aa%d8%a7%d8%b2-%d8%b3%d9%8a%d8%af%d8%a7%d8%aa#MC_MatcheDetails
1/4/2025,12:30,الدوري التركي,الأسبوع الثامن عشر,أضنة دمير سبور,إسطنبول باشاكشهير,0,1,N/A,N/A,إسطنبول باشاكشهير,Completed,https://www.yallakora.com/turkish-super-lig/2930/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%aa%d8%b1%d9%83%d9%8a#MC_MatcheDetails
1/4/2025,20:00,الدوري البرتغالي,الأسبوع السابع عشر,موريرنسي,اي في اس فوتبول,1,1,N/A,N/A,تعادل,Completed,https://www.yallakora.com/primeira-liga/2929/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a8%d8%b1%d8%aa%d8%ba%d8%a7%d9%84%d9%8a#MC_MatcheDetails
1/4/2025,15:00,الدوري التونسي,الأسبوع الرابع عشر,الترجي الجرجيسي,سليمان الرياضي,1,0,N/A,N/A,الترجي الجرجيسي,Completed,https://www.yallakora.com/tunisian-league/2934/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%aa%d9%88%d9%86%d8%b3%d9%8a#MC_MatcheDetails
1/5/2025,16:00,الدوري الإنجليزي,الأسبوع العشرون,فولهام,إيبسويتش تاون,2,2,N/A,N/A,تعادل,Completed,https://www.yallakora.com/epl/2906/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a#MC_MatcheDetails
1/5/2025,16:00,الدوري الفرنسي,الأسبوع السادس عشر,أنجيه,بريست,2,0,N/A,N/A,أنجيه,Completed,https://www.yallakora.com/ligue1/2908/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a#MC_MatcheDetails
1/5/2025,13:30,الدوري الإيطالي,الأسبوع التاسع عشر,مونزا,كالياري,1,2,N/A,N/A,كالياري,Completed,https://www.yallakora.com/serie-a/2910/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a#MC_MatcheDetails
1/5/2025,17:00,الدوري المغربي,الأسبوع السابع عشر,الاتحاد التوركي,المغرب الفاسي,0,3,N/A,N/A,المغرب الفاسي,Completed,https://www.yallakora.com/morrocan-league/2933/tour-hp/%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8%d9%8a#MC_MatcheDetails
